Interview Date,Name,Interviewer,Key Themes,Primary Persona,Paid v. Organic,User Description,Raw Transcript
"February 2, 2026","Feb 2 - Frequent ChatGPT user, wanted supportive friend",Clare Flanagan,"Comparison to therapy, UX copy feedback, Wants expertise",Helpful and informative,Paid,"Male who found Ash through ad. Frequent ChatGPT user who pays for ChatGPT and currently prefers it for emotional support. Uses Ash specifically ""for issues he'd need a therapist for"" since he doesn't have one. Feels Ash ""tells him what to do too much without knowing enough information"" and makes assumptions. Values supportiveness over advice-giving. Only talked to Ash about ~10 situations so it may have less context than ChatGPT.",
"January 30, 2026","Jan 30 - Mid-20s, therapy extension, persona switcher",Clare Flanagan,"Comparison to therapy, Prefers directness, Wants expertise",The Real One,Paid,"Female in mid-20s, found Ash on TikTok but didn't try until struggling with mental health. Uses Ash in combination with traditional therapy as ""extension to therapy"" and journaling tool that prompts deeper exploration. Has chronic illness and disability. First user interviewed who routinely switches between personas.",
"January 30, 2026","Jan 30 - Engineer, divorce, wants expertise + randomness",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Wants expertise",Coach,Paid,"Male engineer who develops audio products. Going through difficult divorce (13 years married, 19 years together). Uses Ash as supplement to IRL therapy. Switched from ChatGPT which became ""extremely repetitive"" and hollow. Values being challenged and held accountable. Preparing to face ex-wife in court and wants to ""grey rock"" (stay calm and not become dysregulated).",
"January 29, 2026","Jan 29 - early 20s, wanted sarcastic/real/relatable",Clare Flanagan,"AI skeptic converted, Prefers directness, UX copy feedback, Wants expertise",The Real One,Paid,"College-aged female in early 20s. Swiped up on Instagram ad out of curiosity. Chose Ash over ChatGPT because it felt centered on ""growth"" rather than ""just reinforcing beliefs."" Wary of ChatGPT being a ""yes man."" Values directness and wants advice that tells her ""what you need to hear rather than what you want to hear.""",
"January 29, 2026","Jan 29 - Med school gap year, AI skeptic converted",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Prefers directness, UX copy feedback, Wants expertise",Coach,Paid,"Female in early 20s, recent undergrad graduate taking gap year while applying to med school. Found Ash after learning about AI for text message help, searched specifically for ""AI Therapy"" because she wanted guidance without troubling others but was skeptical of AI being a ""yes man.""",
"January 29, 2026","Jan 29 - Mid-30s, no social circle, very loyal user",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Wants expertise",Classic Ash,Paid,"Male in mid-to-late 30s, been using Ash for a few months. No social circle due to previous environment (drugs, gangs). Money has been primary barrier to traditional therapy. Extremely appreciative that Ash is free and provides insight ""like a regular therapist would.""",
"January 28, 2026",Jan 28 - 40yo going through divorce,Clare Flanagan,"AI skeptic converted, Comparison to therapy, Warmth/gentleness",Classic Ash,Paid,"40 years old, going through a difficult divorce. Ash recommended by another woman who went through something similar. Also in traditional therapy.",
"January 27, 2026","Jan 27 - Late 20s/early 30s, therapy supplement user",Clare Flanagan,"Comparison to therapy, UX copy feedback, Wants expertise, Warmth/gentleness",Psych Genius,Paid,"Male in late 20s or early 30s, stumbled upon Ash through online ad. Uses both Ash and a human therapist (older male). Sees Ash as ""pseudo-therapist"" for in-the-moment support, especially middle of the night. Uses female voice with Ash for different perspective than male therapist. Describes Ash as ""a mirror"" and tool to reset negative thought patterns.",
"January 27, 2026",Jan 27 - Mom caring for son with medical needs,Clare Flanagan,"Pacing feedback, Prefers directness",The Real One,Paid,"Mother who moved for son's medical care. Struggled to find social support in new location. Late 30s/early 40s. Looking for counseling app, not companionship.",
"January 27, 2026","Jan 27 - 69yo, AI journal framing",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Warmth/gentleness",Classic Ash,Paid,69 years old. Saw Instagram ad. Initially skeptical of AI but now describes Ash as 'prompted journaling with wonderful feedback.' Processing difficult divorce and childhood issues.,
"January 27, 2026","Jan 27 - Anxiety, behavior-focused",Clare Flanagan,"Pacing feedback, Wants expertise",Psych Genius,Paid,"Tremendous anxiety lately. Husband is a clinical social worker. Found Ash through Facebook. Wanted behavior-focused approach, not emotional deep-dives. Has lots of friends already.",
