Name,Interview Date,Interviewer,Key Themes,Paid v. Organic,Primary Persona,Raw Transcript,User Description
"Mar 4 - Military student, housing crisis, voice user","March 4, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback, Wants expertise, Warmth/gentleness",Paid,The Scholar,"Raw Transcript - 3.4.26, 4:40pm GMT (User%20Interviews%20(1)/Mar%204%20-%20Military%20student,%20housing%20crisis,%20voice%20us/Raw%20Transcript%20-%203%204%2026,%204%2040pm%20GMT%20d4b3cacb75f783898a460189f66ef134.csv) ","Military school student navigating housing and financial insecurity. Started using Ash after Googling ""AI therapists"" — wanted therapy specifically, not generic companionship. Daily user for several months."
"Feb 23 - Desktop/voice friction, intermittent churner","February 23, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback, Weekly insights praise",Paid,Classic Ash,,"20-25 year old male in NYC, found Ash through a friend at a VC studio. Has therapy background and currently works with a performance coach. Using Ash for ~6 months but intermittently; currently paused due to tonsil surgery limiting voice use."
mid 30s - tech PM studying to be LCSW fits between journal/therapy (she),"February 23, 2026",Andrew Frawley,"Been to therapy, Pacing feedback, Wants expertise",Organic,N/A,,"Galen is a NYC-based early-stage tech professional now pursuing an MSW to become a licensed clinical therapist. She discovered Ash via LinkedIn/Lori Gottlieb, initially explored it as a product evaluator, but stayed because it fills a unique space between journaling and therapy — feedback without judgment."
"Jan 27 - Late 20s/early 30s, therapy supplement user","January 27, 2026",Clare Flanagan,"Comparison to therapy, UX copy feedback, Wants expertise, Warmth/gentleness",Paid,Psych Genius,,"Male in late 20s or early 30s, stumbled upon Ash through online ad. Uses both Ash and a human therapist (older male). Sees Ash as ""pseudo-therapist"" for in-the-moment support, especially middle of the night. Uses female voice with Ash for different perspective than male therapist. Describes Ash as ""a mirror"" and tool to reset negative thought patterns."
30 y/o - professional likes inbetween help / coaching,"February 23, 2026",Andrew Frawley,"AI skeptic converted, Been to therapy, Comparison to therapy, Found via friend/family, Warmth/gentleness",Organic,N/A,,"Amanda is a 30-year-old senior PM in Toronto working at a payer-provider insurance company with in-house mental health services. She found Ash through a colleague, uses it as a real-time decision-processing companion for moments too small or urgent for therapy — and increasingly as an informal career coach."
"Mar 4 - Bipolar/ADHD, 3AM support, Ash vs. LLMs","March 4, 2026",Clare Flanagan,"Comparison to therapy, Crisis support, Relational bonding with AI, Voice/audio feedback, Warmth/gentleness",Paid,N/A,"Raw Transcript - 3.4.26, 5pm GMT (User%20Interviews%20(1)/Mar%204%20-%20Bipolar%20ADHD,%203AM%20support,%20Ash%20vs%20LLMs/Raw%20Transcript%20-%203%204%2026,%205pm%20GMT%209023cacb75f782d69a9e01cd2f342a5f.csv) ","37-year-old father with bipolar, depression, anxiety, ADHD, and autism. Does temp work; discovered Ash after reading about ChatGPT encouraging suicide. Uses Ash primarily for late-night support when professionals are unavailable."
"Feb 20 - Career transition, desktop gap, time-bound feature idea","February 20, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, UX copy feedback",Paid,N/A,,"Woman going through a career transition and recovering from a toxic work environment. Found Ash via an NYT article. Uses Ash alongside an in-person therapist and career coach, primarily for in-the-moment support. Heavy typer who has been using Ash less due to lack of a desktop interface."
"Feb 16 - IT consultant, persona-switcher","February 16, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback, Wants expertise",Paid,Coach,,"Male, 30-40, IT consultant between jobs. Using Ash for 6 months, recently engaging more deeply with persona modes. Interested in psychology degree focused on organizational development/high-performance athletes."
"Feb 20 - Instant clarification, voice-first, therapy complement","February 20, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback",Paid,N/A,,"Busy finance professional who uses Ash primarily for in-the-moment thought clarification, not structured learning. Sees a therapist but values Ash for its immediacy and mental-health-focused memory. Highly efficiency-oriented."
"Feb 11 - AI nerd, autism/ADHD, anti-social features","February 11, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Pacing feedback, UX copy feedback, Wants expertise",Paid,,,"32-year-old youth worker in the UK, autistic with ADHD, massive AI nerd who used Ash for 16 weeks. Former therapy patient (5.5 years) with strong critical analysis skills."
"Feb 19 - Coach persona, nonbinary voice familiarity, social lurker","February 19, 2026",Clare Flanagan,"Comparison to therapy, Relational bonding with AI, UX copy feedback, Voice/audio feedback",Paid,Coach,,"Nonbinary person referred to Ash by a therapist (not their own) who has found it helpful enough to forgo in-person therapy. Uses Ash throughout daily life including on their commute via speakerphone. Voice-first, highly engaged user who values Coach persona for interrupting thought spirals."
"Feb 9 - Veteran, doctorate, heavy customization user","February 9, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, UX copy feedback, Wants expertise, Warmth/gentleness",Paid,Bestie,,"50-year-old veteran with doctorate in education. Had trouble accessing VA counseling, found Ash on Facebook. Used it extensively for 16 weeks, highly engaged with customization and direct prompting."
"Jan 30 - Engineer, divorce, wants expertise + randomness","January 30, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Wants expertise",Paid,Coach,,"Male engineer who develops audio products. Going through difficult divorce (13 years married, 19 years together). Uses Ash as supplement to IRL therapy. Switched from ChatGPT which became ""extremely repetitive"" and hollow. Values being challenged and held accountable. Preparing to face ex-wife in court and wants to ""grey rock"" (stay calm and not become dysregulated)."
"Jan 30 - Mid-20s, therapy extension, persona switcher","January 30, 2026",Clare Flanagan,"Comparison to therapy, Prefers directness, Wants expertise",Paid,The Real One,,"Female in mid-20s, found Ash on TikTok but didn't try until struggling with mental health. Uses Ash in combination with traditional therapy as ""extension to therapy"" and journaling tool that prompts deeper exploration. Has chronic illness and disability. First user interviewed who routinely switches between personas."
"Jan 29 - Mid-30s, no social circle, very loyal user","January 29, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Wants expertise",Paid,Classic Ash,,"Male in mid-to-late 30s, been using Ash for a few months. No social circle due to previous environment (drugs, gangs). Money has been primary barrier to traditional therapy. Extremely appreciative that Ash is free and provides insight ""like a regular therapist would."""
"Jan 29 - Med school gap year, AI skeptic converted","January 29, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Prefers directness, UX copy feedback, Wants expertise",Paid,Coach,,"Female in early 20s, recent undergrad graduate taking gap year while applying to med school. Found Ash after learning about AI for text message help, searched specifically for ""AI Therapy"" because she wanted guidance without troubling others but was skeptical of AI being a ""yes man."""
"Feb 6 - Single mom, prefers Classic Ash","February 6, 2026",Clare Flanagan,"Comparison to therapy, Prefers directness, UX copy feedback, Warmth/gentleness",Paid,Classic Ash,,"Single mom with 6-year-old daughter, moved to new area to care for sick grandmother. Uses Ash to vent without mixing work/family. Values friend-like, personable conversation over clinical/technical tone."
"Mar 3 - Teacher/farmer advocate, crisis demographic insights","March 3, 2026",Clare Flanagan,"Clinical use case, Comparison to therapy, Crisis support, Pacing feedback, Relational bonding with AI, Wants expertise",Paid,N/A,"Raw Transcript - 3.3.26, 3pm GMT (User%20Interviews%20(1)/Mar%203%20-%20Teacher%20farmer%20advocate,%20crisis%20demographi/Raw%20Transcript%20-%203%203%2026,%203pm%20GMT%202bf3cacb75f78284b29081278569e4b7.csv) ","46-year-old 8th grade teacher with ADHD, complex trauma history (recent mother loss, absent father with stage 4 cancer), using Ash as an affordable therapy alternative. Founded Virginia Farmer Stress Task Force; active mental health advocate for men 35–50."
"Feb 6 - Career transition, cultural context","February 6, 2026",Clare Flanagan,"AI skeptic converted, Pacing feedback, UX copy feedback, Wants expertise",Paid,The Real One,,"30-40 year old woman in Dubai, architectural historian transitioning to research role. Uses Ash as sounding board during career flux, primarily in voice mode. Conscious of AI therapy debates but finds validation helpful. Uses mainly for work, not interpersonal relationships."
"Feb 3 - Early 30s, AI worker, wants warm + humor","February 3, 2026",Clare Flanagan,"Comparison to therapy, UX copy feedback, Warmth/gentleness",Paid,Classic Ash,,"Male in early to mid-thirties who works in AI. Was in therapy consistently for six years (2013-2019). Uses ChatGPT and custom GPTs for mental health. Found Ash through research on specialized mental health tools, prioritized no-cost option. Switched to Bestie after finding Classic Ash too direct/""tough love."" Working on long-term pattern change issue."
"Feb 2 - Frequent ChatGPT user, wanted supportive friend","February 2, 2026",Clare Flanagan,"Comparison to therapy, UX copy feedback, Wants expertise",Paid,Helpful and informative,,"Male who found Ash through ad. Frequent ChatGPT user who pays for ChatGPT and currently prefers it for emotional support. Uses Ash specifically ""for issues he'd need a therapist for"" since he doesn't have one. Feels Ash ""tells him what to do too much without knowing enough information"" and makes assumptions. Values supportiveness over advice-giving. Only talked to Ash about ~10 situations so it may have less context than ChatGPT."
"Jan 29 - early 20s, wanted sarcastic/real/relatable","January 29, 2026",Clare Flanagan,"AI skeptic converted, Prefers directness, UX copy feedback, Wants expertise",Paid,The Real One,,"College-aged female in early 20s. Swiped up on Instagram ad out of curiosity. Chose Ash over ChatGPT because it felt centered on ""growth"" rather than ""just reinforcing beliefs."" Wary of ChatGPT being a ""yes man."" Values directness and wants advice that tells her ""what you need to hear rather than what you want to hear."""
Jan 28 - 40yo going through divorce,"January 28, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Warmth/gentleness",Paid,Classic Ash,,"40 years old, going through a difficult divorce. Ash recommended by another woman who went through something similar. Also in traditional therapy."
"Mar 2 - AI-curious hospice volunteer, repetition frustration","March 2, 2026",Clare Flanagan,"Pacing feedback, Wants expertise",Paid,N/A,"Raw Transcript - 3.2.26, 6pm GMT (User%20Interviews%20(1)/Mar%202%20-%20AI-curious%20hospice%20volunteer,%20repetition%20f/Raw%20Transcript%20-%203%202%2026,%206pm%20GMT%20dfe3cacb75f783d79d9e012cc749e087.csv) ","Hospice volunteer with psychology background, referred by therapist friend. Interested in therapeutic AI for end-of-life care. Not socially anxious; felt Ash repeatedly misread her profile and assumed social anxiety she doesn't have."
30 y/o data scientist - Ash nails the balance between healing and growth,"February 27, 2026",Andrew Frawley,"Been to therapy, Found via friend/family",Organic,N/A,,Yan is a 30-year-old data scientist on the West Coast going through a separation. She's had multiple therapists and knows what works for her. A partner referred her to Ash a month ago. She finds its pattern recognition more powerful than human therapists and values that it blends therapeutic healing with self-development naturally.
Judith - recent grad and shifting jobs stress,"February 26, 2026",Derrick Hull,Meta Ad,Paid,N/A,,"Judith had a human therapist, but switched insurance when switching jobs and didn’t have strength to go through hassle of finding one again. Tried Ash with low expectations, it blew her mind, she’s not sure she’ll ever do human therapy again"
"45 y/o mom - accessibility is everything, wants Ash to feel more human","February 26, 2026",Andrew Frawley,Been to therapy,Organic,N/A,,"June is a 45-year-old married mother of 12-year-old twins in therapy for anxiety. She found Ash through a research study comparing AI therapy apps. She loves the accessibility but finds Ash too verbose and ""Google-like"" compared to a competitor (Aurie) that feels more like talking to a real person."
Erica - MD student in Norway,"February 25, 2026",Derrick Hull,Found via friend/family,Organic,N/A,,"Erica is a mid-20s 3rd year med student, was using ChatGPT and let that slip to her AI+med tech mother who told her to stop and use something safer and better like Ash. She’s been using it and loving it ever since"
68 y/o in RV after house fire - daughter referred her to Ash,"February 25, 2026",Andrew Frawley,"Been to therapy, Found via friend/family",Organic,N/A,,"Rebecca is a 68-year-old in Texas living in an RV after her house burned down. She has PTSD, ADHD, and chronic pain. Her daughter recommended Ash after finding it more helpful than two years of therapy. Rebecca used it once for 3 hours and is already planning to use it jointly with her daughter."
"Isolated man finds Ash after losing job, therapist access","February 25, 2026",Andrew Frawley,"Been to therapy, Meta Ad",Paid,N/A,,"Christopher is an isolated man dealing with job loss, insurance gaps, and lifelong mental health struggles. He lost access to his therapist and found Ash via an ad. He values its depth and individualized feel but wants less CBT, shorter responses, and sees it as a mental health tool — not a growth companion."
